date,sku_id,region,units_ordered,price_usd,holiday_peak_flag,prime_event_flag,weekend_flag,marketing_push_flag,weather_disruption_index,weekend_flag_raw
2024-07-01,SKU-100023,West,31,106.42,0,1,0,0,-0.85,1970-01-01
2024-07-05,SKU-100043,East,33,188.31,0,1,0,0,0.39,1970-01-02
2024-07-12,SKU-100179,West,43,82.5,0,1,0,0,-0.31,1970-01-08
2024-07-13,SKU-100132,West,35,185.56,0,1,1,0,-0.29,1970-01-06
2024-07-14,SKU-100213,East,59,185.41,0,1,1,0,0.31,1970-01-09
2024-07-16,SKU-100100,East,69,169.53,0,1,0,0,0.87,1970-01-05
2024-07-16,SKU-100196,North,61,75.23,0,1,0,0,-0.29,1970-01-09
2024-07-16,SKU-100214,North,48,33.52,0,1,0,0,-0.29,1970-01-09
2024-07-17,SKU-100366,West,56,154.62,0,1,0,0,-1.1,1970-01-16
2024-07-20,SKU-100142,West,40,160.72,0,1,1,0,-0.84,1970-01-06
2024-07-21,SKU-100005,East,39,83.31,0,1,1,0,-0.34,1970-01-01
2024-07-21,SKU-100134,East,60,185.25,0,1,1,0,0.21,1970-01-06
2024-07-23,SKU-100158,West,31,80.35,0,1,0,0,1.8,1970-01-07
2024-07-23,SKU-100443,South,51,73.29,0,1,0,0,-0.31,1970-01-19
2024-07-24,SKU-100062,West,39,151.7,0,1,0,0,-0.52,1970-01-03
2024-07-24,SKU-100349,South,66,180.52,0,1,0,0,0.0,1970-01-15
2024-07-25,SKU-100053,South,30,160.14,0,1,0,1,1.77,1970-01-03
2024-07-25,SKU-100531,South,37,128.73,0,1,0,0,1.09,1970-01-23
2024-07-25,SKU-100569,North,36,130.87,0,1,0,0,-1.1,1970-01-24
2024-07-26,SKU-100139,South,32,125.65,0,1,0,0,-0.34,1970-01-06
2024-07-26,SKU-100489,East,47,173.34,0,1,0,0,0.31,1970-01-21
2024-07-27,SKU-100191,South,37,151.58,0,1,1,0,0.17,1970-01-08
2024-07-28,SKU-100627,South,53,183.95,0,1,1,0,-1.1,1970-01-27
2024-07-29,SKU-100129,East,57,169.01,0,1,0,0,-0.09,1970-01-06
2024-07-30,SKU-100261,East,80,179.37,0,1,0,0,0.17,1970-01-11
2024-07-30,SKU-100328,West,35,104.78,0,1,0,0,1.8,1970-01-14
2024-07-30,SKU-100586,North,47,122.36,0,1,0,0,0.31,1970-01-25
2024-07-31,SKU-100278,West,70,191.86,0,1,0,0,0.17,1970-01-12
2024-07-31,SKU-100363,North,46,167.99,0,1,0,0,0.21,1970-01-16
2024-07-31,SKU-100571,West,54,159.9,0,1,0,0,-0.29,1970-01-24
2024-07-31,SKU-100574,East,28,130.88,0,1,0,0,-0.29,1970-01-24
2024-07-31,SKU-100604,South,33,122.71,0,1,0,0,0.31,1970-01-26
2024-08-02,SKU-100539,South,29,81.53,0,1,0,0,-2.39,1970-01-23
2024-08-03,SKU-100814,North,72,43.17,0,1,1,0,-0.85,1970-02-03
2024-08-04,SKU-100152,East,26,109.24,0,1,1,0,1.24,1970-01-07
2024-08-04,SKU-100297,East,34,176.0,0,1,1,1,1.77,1970-01-13
2024-08-04,SKU-100647,West,43,181.82,0,1,1,0,0.57,1970-01-27
2024-08-05,SKU-100119,North,46,40.92,0,0,0,0,-0.44,1970-01-05
2024-08-07,SKU-100069,North,21,127.85,0,0,0,0,0.48,1970-01-03
2024-08-07,SKU-100204,West,56,42.04,0,1,0,0,-1.09,1970-01-09
2024-08-07,SKU-100341,West,21,83.05,0,1,0,0,-0.09,1970-01-15
2024-08-07,SKU-100656,West,30,120.06,0,1,0,0,-2.39,1970-01-28
2024-08-07,SKU-100695,West,27,128.12,0,1,0,0,0.0,1970-01-29
2024-08-08,SKU-100127,West,54,196.23,0,0,0,0,0.35,1970-01-06
2024-08-08,SKU-100244,West,64,77.96,0,1,0,0,1.24,1970-01-11
2024-08-08,SKU-100485,East,67,197.18,0,1,0,0,-0.39,1970-01-21
2024-08-08,SKU-100585,North,57,176.03,0,1,0,0,-0.84,1970-01-25
2024-08-08,SKU-100740,East,72,157.68,0,1,0,0,0.57,1970-01-31
2024-08-09,SKU-100370,East,53,175.07,0,1,0,0,0.4,1970-01-16
2024-08-09,SKU-100426,East,65,155.95,0,1,0,1,1.77,1970-01-18
2024-08-09,SKU-100479,South,64,97.07,0,1,0,0,-0.34,1970-01-20
2024-08-09,SKU-100542,South,31,176.79,0,1,0,0,-0.92,1970-01-23
2024-08-09,SKU-100693,North,35,106.82,0,1,0,0,0.87,1970-01-29
2024-08-09,SKU-100729,South,33,138.28,0,1,0,0,0.0,1970-01-31
2024-08-09,SKU-100755,South,68,41.09,0,1,0,0,0.57,1970-02-01
2024-08-10,SKU-100334,West,45,195.12,0,1,1,0,0.2,1970-01-14
2024-08-10,SKU-100530,East,51,32.08,0,1,1,0,-0.39,1970-01-23
2024-08-11,SKU-100063,East,50,190.02,0,0,1,0,-0.41,1970-01-03
2024-08-11,SKU-100633,North,62,189.66,0,1,1,0,0.21,1970-01-27
2024-08-11,SKU-100900,East,59,178.21,0,1,1,0,-0.31,1970-02-07
2024-08-11,SKU-100917,North,31,106.32,0,1,1,0,0.39,1970-02-08
2024-08-12,SKU-100325,South,27,127.78,0,1,0,0,-1.09,1970-01-14
2024-08-12,SKU-100929,North,33,158.75,0,1,0,0,-0.31,1970-02-08
2024-08-13,SKU-100395,South,28,151.25,0,1,0,0,0.2,1970-01-17
2024-08-13,SKU-100986,East,32,124.06,0,1,0,0,1.09,1970-02-11
2024-08-14,SKU-100036,East,35,175.8,0,0,0,0,0.31,1970-01-02
2024-08-14,SKU-100326,North,33,186.98,0,0,0,0,-0.44,1970-01-14
2024-08-14,SKU-100522,North,23,126.51,0,1,0,0,-0.09,1970-01-22
2024-08-15,SKU-100302,South,56,199.57,0,0,0,0,0.35,1970-01-13
2024-08-15,SKU-100681,North,45,31.86,0,1,0,0,-0.92,1970-01-29
2024-08-15,SKU-100798,West,40,150.6,0,1,0,0,3.32,1970-02-03
2024-08-16,SKU-100226,North,40,150.29,0,0,0,1,0.35,1970-01-10
2024-08-16,SKU-100420,South,56,73.64,0,1,0,0,-1.09,1970-01-18
2024-08-16,SKU-100435,West,27,102.79,0,1,0,0,1.24,1970-01-19
2024-08-16,SKU-100653,North,63,30.51,0,1,0,0,0.17,1970-01-28
