date,sku_id,region,units_ordered,price_usd,holiday_peak_flag,prime_event_flag,weekend_flag,marketing_push_flag,weather_disruption_index,weekend_flag_raw,category,unit_cost_usd,selling_price_usd,cube_ft,target_service_level,holiday_peak_flag_calendar,prime_event_flag_calendar,marketing_push_flag_calendar,weather_disruption_index_calendar,weekend_flag_calendar,revenue_usd,gross_margin_usd,month
2024-07-01,SKU-100023,West,31,106.42,0,1,0,0,-0.85,1970-01-01,Home,118.88,33.69,0.21,0.975,0.0,1.0,0.0,-0.85,0.0,3299.02,-386.2599999999998,2024-07
2024-07-05,SKU-100043,East,33,188.31,0,1,0,0,0.39,1970-01-02,Kitchen,40.39,32.87,0.64,0.972,0.0,1.0,0.0,-0.31,0.0,6214.2300000000005,4881.360000000001,2024-07
2024-07-12,SKU-100179,West,43,82.5,0,1,0,0,-0.31,1970-01-08,Home,85.74,189.02,1.49,0.954,0.0,1.0,0.0,0.87,0.0,3547.5,-139.31999999999977,2024-07
2024-07-13,SKU-100132,West,35,185.56,0,1,1,0,-0.29,1970-01-06,Electronics,82.88,157.93,0.66,0.952,0.0,1.0,0.0,3.32,1.0,6494.6,3593.8,2024-07
2024-07-14,SKU-100213,East,59,185.41,0,1,1,0,0.31,1970-01-09,Electronics,54.03,86.74,0.58,0.976,0.0,1.0,0.0,0.79,1.0,10939.19,7751.42,2024-07
2024-07-16,SKU-100100,East,69,169.53,0,1,0,0,0.87,1970-01-05,Pet,68.29,97.95,0.38,0.978,0.0,1.0,0.0,-0.32,0.0,11697.57,6985.5599999999995,2024-07
2024-07-16,SKU-100196,North,61,75.23,0,1,0,0,-0.29,1970-01-09,Pet,119.39,197.26,0.68,0.987,0.0,1.0,0.0,-0.32,0.0,4589.030000000001,-2693.7599999999998,2024-07
2024-07-16,SKU-100214,North,48,33.52,0,1,0,0,-0.29,1970-01-09,Pet,119.39,197.26,0.68,0.987,0.0,1.0,0.0,-0.32,0.0,1608.96,-4121.76,2024-07
2024-07-17,SKU-100366,West,56,154.62,0,1,0,0,-1.1,1970-01-16,Electronics,82.88,157.93,0.66,0.952,0.0,1.0,0.0,0.35,0.0,8658.720000000001,4017.4400000000005,2024-07
2024-07-20,SKU-100142,West,40,160.72,0,1,1,0,-0.84,1970-01-06,Pet,119.39,197.26,0.68,0.987,0.0,1.0,0.0,-0.06999999999999999,1.0,6428.8,1653.1999999999998,2024-07
2024-07-21,SKU-100005,East,39,83.31,0,1,1,0,-0.34,1970-01-01,Home,118.88,33.69,0.21,0.975,0.0,1.0,0.0,-0.015000000000000013,1.0,3249.09,-1387.2299999999998,2024-07
2024-07-21,SKU-100134,East,60,185.25,0,1,1,0,0.21,1970-01-06,Electronics,96.37,130.18,0.12,0.949,0.0,1.0,0.0,-0.015000000000000013,1.0,11115.0,5332.799999999999,2024-07
2024-07-23,SKU-100158,West,31,80.35,0,1,0,0,1.8,1970-01-07,Pet,39.01,44.01,0.77,0.983,0.0,1.0,1.0,0.74,0.0,2490.85,1281.54,2024-07
2024-07-23,SKU-100443,South,51,73.29,0,1,0,0,-0.31,1970-01-19,Kitchen,38.64,161.51,0.29,0.933,0.0,1.0,1.0,0.74,0.0,3737.7900000000004,1767.1500000000003,2024-07
2024-07-24,SKU-100062,West,39,151.7,0,1,0,0,-0.52,1970-01-03,Electronics,96.37,130.18,0.12,0.949,0.0,1.0,0.0,0.24,0.0,5916.299999999999,2157.8699999999994,2024-07
2024-07-24,SKU-100349,South,66,180.52,0,1,0,0,0.0,1970-01-15,Kitchen,40.39,32.87,0.64,0.972,0.0,1.0,0.0,0.24,0.0,11914.320000000002,9248.58,2024-07
2024-07-25,SKU-100053,South,30,160.14,0,1,0,1,1.77,1970-01-03,Home,85.74,189.02,1.49,0.954,0.0,1.0,0.0,0.0,0.0,4804.2,2231.9999999999995,2024-07
2024-07-25,SKU-100531,South,37,128.73,0,1,0,0,1.09,1970-01-23,Electronics,47.52,108.9,0.08,0.975,0.0,1.0,0.0,0.0,0.0,4763.009999999999,3004.769999999999,2024-07
2024-07-25,SKU-100569,North,36,130.87,0,1,0,0,-1.1,1970-01-24,Kitchen,38.64,161.51,0.29,0.933,0.0,1.0,0.0,0.0,0.0,4711.32,3320.28,2024-07
2024-07-26,SKU-100139,South,32,125.65,0,1,0,0,-0.34,1970-01-06,Toys,119.1,158.8,0.61,0.973,0.0,1.0,0.0,-0.9950000000000001,0.0,4020.8,209.60000000000036,2024-07
2024-07-26,SKU-100489,East,47,173.34,0,1,0,0,0.31,1970-01-21,Beauty,61.85,78.7,0.76,0.931,0.0,1.0,0.0,-0.9950000000000001,0.0,8146.9800000000005,5240.030000000001,2024-07
2024-07-27,SKU-100191,South,37,151.58,0,1,1,0,0.17,1970-01-08,Kitchen,38.64,161.51,0.29,0.933,0.0,1.0,0.0,1.5050000000000001,1.0,5608.46,4178.780000000001,2024-07
2024-07-28,SKU-100627,South,53,183.95,0,1,1,0,-1.1,1970-01-27,Electronics,54.03,86.74,0.58,0.976,0.0,1.0,0.0,2.285,1.0,9749.349999999999,6885.759999999999,2024-07
2024-07-29,SKU-100129,East,57,169.01,0,1,0,0,-0.09,1970-01-06,Beauty,61.85,78.7,0.76,0.931,0.0,1.0,0.0,0.495,0.0,9633.57,6108.12,2024-07
2024-07-30,SKU-100261,East,80,179.37,0,1,0,0,0.17,1970-01-11,Electronics,47.52,108.9,0.08,0.975,0.0,1.0,0.0,0.2,0.0,14349.6,10548.0,2024-07
2024-07-30,SKU-100328,West,35,104.78,0,1,0,0,1.8,1970-01-14,Electronics,112.48,134.55,0.33,0.966,0.0,1.0,0.0,0.2,0.0,3667.3,-269.5000000000001,2024-07
2024-07-30,SKU-100586,North,47,122.36,0,1,0,0,0.31,1970-01-25,Pet,68.29,97.95,0.38,0.978,0.0,1.0,0.0,0.2,0.0,5750.92,2541.2899999999995,2024-07
2024-07-31,SKU-100278,West,70,191.86,0,1,0,0,0.17,1970-01-12,Electronics,96.37,130.18,0.12,0.949,0.0,1.0,0.0,-0.5766666666666667,0.0,13430.2,6684.300000000001,2024-07
2024-07-31,SKU-100363,North,46,167.99,0,1,0,0,0.21,1970-01-16,Beauty,61.85,78.7,0.76,0.931,0.0,1.0,0.0,-0.5766666666666667,0.0,7727.540000000001,4882.4400000000005,2024-07
2024-07-31,SKU-100571,West,54,159.9,0,1,0,0,-0.29,1970-01-24,Toys,119.1,158.8,0.61,0.973,0.0,1.0,0.0,-0.5766666666666667,0.0,8634.6,2203.2000000000007,2024-07
2024-07-31,SKU-100574,East,28,130.88,0,1,0,0,-0.29,1970-01-24,Pet,119.39,197.26,0.68,0.987,0.0,1.0,0.0,-0.5766666666666667,0.0,3664.64,321.71999999999986,2024-07
2024-07-31,SKU-100604,South,33,122.71,0,1,0,0,0.31,1970-01-26,Pet,68.29,97.95,0.38,0.978,0.0,1.0,0.0,-0.5766666666666667,0.0,4049.43,1795.8599999999997,2024-07
2024-08-02,SKU-100539,South,29,81.53,0,1,0,0,-2.39,1970-01-23,Home,85.74,189.02,1.49,0.954,0.0,1.0,0.0,-0.08999999999999993,0.0,2364.37,-122.08999999999982,2024-08
2024-08-03,SKU-100814,North,72,43.17,0,1,1,0,-0.85,1970-02-03,Electronics,112.48,134.55,0.33,0.966,0.0,1.0,0.0,-0.14666666666666667,1.0,3108.2400000000002,-4990.32,2024-08
2024-08-04,SKU-100152,East,26,109.24,0,1,1,0,1.24,1970-01-07,Electronics,96.37,130.18,0.12,0.949,0.0,1.0,0.0,0.01999999999999999,1.0,2840.24,334.6199999999998,2024-08
2024-08-04,SKU-100297,East,34,176.0,0,1,1,1,1.77,1970-01-13,Electronics,47.52,108.9,0.08,0.975,0.0,1.0,0.0,0.01999999999999999,1.0,5984.0,4368.32,2024-08
2024-08-04,SKU-100647,West,43,181.82,0,1,1,0,0.57,1970-01-27,Home,85.74,189.02,1.49,0.954,0.0,1.0,0.0,0.01999999999999999,1.0,7818.259999999999,4131.44,2024-08
2024-08-05,SKU-100119,North,46,40.92,0,0,0,0,-0.44,1970-01-05,Kitchen,38.64,161.51,0.29,0.933,0.0,1.0,0.0,0.5599999999999999,0.0,1882.3200000000002,104.88000000000005,2024-08
