sku_id,category,unit_cost_usd,selling_price_usd,cube_ft,target_service_level
SKU-100000,Electronics,50.98,190.65,0.55,0.959
SKU-100001,Toys,14.98,175.66,1.79,0.972
SKU-100002,Toys,22.32,198.29,0.86,0.968
SKU-100003,Beauty,61.85,78.7,0.76,0.931
SKU-100004,Electronics,112.48,134.55,0.33,0.966
SKU-100005,Home,118.88,33.69,0.21,0.975
SKU-100006,Electronics,82.88,157.93,0.66,0.952
SKU-100007,Kitchen,40.39,32.87,0.64,0.972
SKU-100008,Electronics,96.37,130.18,0.12,0.949
SKU-100009,Electronics,47.52,108.9,0.08,0.975
SKU-100010,Pet,68.29,97.95,0.38,0.978
SKU-100011,Kitchen,38.64,161.51,0.29,0.933
SKU-100012,Kitchen,30.06,129.52,0.22,0.931
SKU-100013,Toys,119.1,158.8,0.61,0.973
SKU-100014,Pet,39.01,44.01,0.77,0.983
SKU-100015,Electronics,54.03,86.74,0.58,0.976
SKU-100016,Pet,119.39,197.26,0.68,0.987
SKU-100017,Home,85.74,189.02,1.49,0.954
SKU-100018,Electronics,50.98,190.65,0.55,0.959
SKU-100019,Toys,14.98,175.66,1.79,0.972
SKU-100020,Toys,22.32,198.29,0.86,0.968
SKU-100021,Beauty,61.85,78.7,0.76,0.931
SKU-100022,Electronics,112.48,134.55,0.33,0.966
SKU-100023,Home,118.88,33.69,0.21,0.975
SKU-100024,Electronics,82.88,157.93,0.66,0.952
SKU-100025,Kitchen,40.39,32.87,0.64,0.972
SKU-100026,Electronics,96.37,130.18,0.12,0.949
SKU-100027,Electronics,47.52,108.9,0.08,0.975
SKU-100028,Pet,68.29,97.95,0.38,0.978
SKU-100029,Kitchen,38.64,161.51,0.29,0.933
SKU-100030,Kitchen,30.06,129.52,0.22,0.931
SKU-100031,Toys,119.1,158.8,0.61,0.973
SKU-100032,Pet,39.01,44.01,0.77,0.983
SKU-100033,Electronics,54.03,86.74,0.58,0.976
SKU-100034,Pet,119.39,197.26,0.68,0.987
SKU-100035,Home,85.74,189.02,1.49,0.954
SKU-100036,Electronics,50.98,190.65,0.55,0.959
SKU-100037,Toys,14.98,175.66,1.79,0.972
SKU-100038,Toys,22.32,198.29,0.86,0.968
