warehouse_id,warehouse_id_raw,sku_id,starting_inventory_units
WH-N100000,WH-N100000,SKU-100000,2115
WH-S100001,WH-N100001,SKU-100001,2210
WH-E100002,WH-N100002,SKU-100002,2006
WH-W100003,WH-N100003,SKU-100003,2669
WH-C100004,WH-N100004,SKU-100004,2483
WH-N100005,WH-N100005,SKU-100005,1462
WH-S100006,WH-N100006,SKU-100006,1960
WH-E100007,WH-N100007,SKU-100007,2851
WH-W100008,WH-N100008,SKU-100008,2917
WH-C100009,WH-N100009,SKU-100009,2079
WH-N100010,WH-N100010,SKU-100010,1953
WH-S100011,WH-N100011,SKU-100011,1068
WH-E100012,WH-N100012,SKU-100012,898
WH-W100013,WH-N100013,SKU-100013,1586
WH-C100014,WH-N100014,SKU-100014,1923
WH-N100015,WH-N100015,SKU-100015,2932
WH-S100016,WH-N100016,SKU-100016,1232
WH-E100017,WH-N100017,SKU-100017,2315
WH-W100018,WH-S100018,SKU-100018,822
WH-C100019,WH-S100019,SKU-100019,2935
WH-N100020,WH-S100020,SKU-100020,1494
WH-S100021,WH-S100021,SKU-100021,2809
WH-E100022,WH-S100022,SKU-100022,2646
WH-W100023,WH-S100023,SKU-100023,2638
WH-C100024,WH-S100024,SKU-100024,1602
WH-N100025,WH-S100025,SKU-100025,646
WH-S100026,WH-S100026,SKU-100026,1224
WH-E100027,WH-S100027,SKU-100027,872
WH-W100028,WH-S100028,SKU-100028,2832
WH-C100029,WH-S100029,SKU-100029,2958
WH-N100030,WH-S100030,SKU-100030,2629
WH-S100031,WH-S100031,SKU-100031,970
WH-E100032,WH-S100032,SKU-100032,2237
WH-W100033,WH-S100033,SKU-100033,2593
WH-C100034,WH-S100034,SKU-100034,2477
WH-N100035,WH-S100035,SKU-100035,1382
WH-S100036,WH-E100036,SKU-100036,2401
WH-E100037,WH-E100037,SKU-100037,2561
WH-W100038,WH-E100038,SKU-100038,2959
WH-C100039,WH-E100039,SKU-100039,2822
WH-N100040,WH-E100040,SKU-100040,1339
WH-S100041,WH-E100041,SKU-100041,1256
WH-E100042,WH-E100042,SKU-100042,1131
WH-W100043,WH-E100043,SKU-100043,2251
WH-C100044,WH-E100044,SKU-100044,2189
WH-N100045,WH-E100045,SKU-100045,965
WH-S100046,WH-E100046,SKU-100046,1842
WH-E100047,WH-E100047,SKU-100047,1172
WH-W100048,WH-E100048,SKU-100048,888
WH-C100049,WH-E100049,SKU-100049,2816
WH-N100050,WH-E100050,SKU-100050,2892
WH-S100051,WH-E100051,SKU-100051,1626
WH-E100052,WH-E100052,SKU-100052,1950
WH-W100053,WH-E100053,SKU-100053,616
