warehouse_id,warehouse_id_raw,demand_region,ship_cost_per_unit_usd,lead_time_days
WH-N100000,WH-N100000,North,1.08,2
WH-S100001,WH-N100001,South,2.7,2
WH-E100002,WH-N100002,East,1.09,3
WH-W100003,WH-N100003,West,0.63,1
WH-C100004,WH-S100004,North,1.43,3
WH-N100005,WH-S100005,South,1.43,3
WH-S100006,WH-S100006,East,2.42,2
WH-E100007,WH-S100007,West,1.15,4
WH-W100008,WH-E100008,North,2.33,2
WH-C100009,WH-E100009,South,2.48,1
WH-N100010,WH-E100010,East,2.63,1
WH-S100011,WH-E100011,West,1.58,2
WH-E100012,WH-W100012,North,0.52,4
WH-W100013,WH-W100013,South,0.72,4
WH-C100014,WH-W100014,East,1.39,1
WH-N100015,WH-W100015,West,0.67,3
WH-S100016,WH-C100016,North,1.55,2
WH-E100017,WH-C100017,South,2.48,1
WH-W100018,WH-C100018,East,0.98,3
WH-C100019,WH-C100019,West,1.14,2
WH-N100020,WH-N100020,North,1.08,2
WH-S100021,WH-N100021,South,2.7,2
WH-E100022,WH-N100022,East,1.09,3
WH-W100023,WH-N100023,West,0.63,1
WH-C100024,WH-S100024,North,1.43,3
WH-N100025,WH-S100025,South,1.43,3
WH-S100026,WH-S100026,East,2.42,2
WH-E100027,WH-S100027,West,1.15,4
WH-W100028,WH-E100028,North,2.33,2
WH-C100029,WH-E100029,South,2.48,1
WH-N100030,WH-E100030,East,2.63,1
WH-S100031,WH-E100031,West,1.58,2
WH-E100032,WH-W100032,North,0.52,4
WH-W100033,WH-W100033,South,0.72,4
WH-C100034,WH-W100034,East,1.39,1
WH-N100035,WH-W100035,West,0.67,3
WH-S100036,WH-C100036,North,1.55,2
WH-E100037,WH-C100037,South,2.48,1
WH-W100038,WH-C100038,East,0.98,3
WH-C100039,WH-C100039,West,1.14,2
WH-N100040,WH-N100040,North,1.08,2
WH-S100041,WH-N100041,South,2.7,2
WH-E100042,WH-N100042,East,1.09,3
WH-W100043,WH-N100043,West,0.63,1
WH-C100044,WH-S100044,North,1.43,3
WH-N100045,WH-S100045,South,1.43,3
WH-S100046,WH-S100046,East,2.42,2
WH-E100047,WH-S100047,West,1.15,4
WH-W100048,WH-E100048,North,2.33,2
WH-C100049,WH-E100049,South,2.48,1
