week,sku_id,region,units_ordered,week_raw
2024-07-01,SKU-100000,East,255,2024-07-01
2024-07-01,SKU-100001,North,247,2024-07-01
2024-07-01,SKU-100002,South,212,2024-07-01
2024-07-01,SKU-100003,West,231,2024-07-01
2024-07-01,SKU-100004,East,468,2024-07-01
2024-07-01,SKU-100005,North,429,2024-07-01
2024-07-01,SKU-100006,South,380,2024-07-01
2024-07-01,SKU-100007,West,402,2024-07-01
2024-07-01,SKU-100008,East,485,2024-07-01
2024-07-01,SKU-100009,North,456,2024-07-01
2024-07-01,SKU-100010,South,329,2024-07-01
2024-07-01,SKU-100011,West,396,2024-07-01
2024-07-01,SKU-100012,East,508,2024-07-01
2024-07-01,SKU-100013,North,523,2024-07-01
2024-07-01,SKU-100014,South,402,2024-07-01
2024-07-01,SKU-100015,West,484,2024-07-01
2024-07-01,SKU-100016,East,271,2024-07-01
2024-07-01,SKU-100017,North,253,2024-07-01
2024-07-01,SKU-100018,South,201,2024-07-01
2024-07-01,SKU-100019,West,229,2024-07-01
2024-07-01,SKU-100020,East,423,2024-07-01
2024-07-01,SKU-100021,North,347,2024-07-01
2024-07-01,SKU-100022,South,336,2024-07-01
2024-07-01,SKU-100023,West,334,2024-07-01
2024-07-01,SKU-100024,East,232,2024-07-02
2024-07-01,SKU-100025,North,241,2024-07-02
2024-07-01,SKU-100026,South,222,2024-07-02
2024-07-01,SKU-100027,West,215,2024-07-02
2024-07-01,SKU-100028,East,316,2024-07-02
2024-07-01,SKU-100029,North,320,2024-07-02
2024-07-01,SKU-100030,South,292,2024-07-02
2024-07-01,SKU-100031,West,322,2024-07-02
2024-07-01,SKU-100032,East,234,2024-07-02
2024-07-01,SKU-100033,North,233,2024-07-02
2024-07-01,SKU-100034,South,214,2024-07-02
2024-07-01,SKU-100035,West,225,2024-07-02
2024-07-01,SKU-100036,East,263,2024-07-02
2024-07-01,SKU-100037,North,223,2024-07-02
2024-07-01,SKU-100038,South,199,2024-07-02
2024-07-01,SKU-100039,West,231,2024-07-02
2024-07-01,SKU-100040,East,463,2024-07-02
2024-07-01,SKU-100041,North,451,2024-07-02
2024-07-01,SKU-100042,South,396,2024-07-02
2024-07-01,SKU-100043,West,436,2024-07-02
2024-07-01,SKU-100044,East,335,2024-07-02
2024-07-01,SKU-100045,North,311,2024-07-02
2024-07-01,SKU-100046,South,286,2024-07-02
2024-07-01,SKU-100047,West,289,2024-07-02
2024-07-01,SKU-100048,East,313,2024-07-03
