month,total_units,total_revenue,avg_weather_disruption
2024-07,1483,214612.89,0.048125
2024-08,4195,521351.95,0.1258762886597938
2024-09,6940,853407.45,0.13515337423312884
2024-10,9301,1116755.57,0.2698689956331878
2024-11,10947,1292688.81,0.14364312267657992
2024-12,13613,1710441.56,0.25379411764705884
2025-01,17069,2085026.16,0.16178403755868545
2025-02,14521,1762602.94,0.12056338028169013
2025-03,15961,2049349.18,0.11624338624338623
2025-04,19635,2384801.52,0.15788888888888888
2025-05,19716,2488426.51,0.14417249417249417
2025-06,19100,2422975.46,0.20900249376558605
2025-07,19129,2398432.77,0.13665835411471322
2025-08,14372,1788799.58,0.17166666666666666
2025-09,12787,1617986.82,0.09729241877256317
2025-10,9693,1223270.73,0.07311004784688994
2025-11,6625,859564.85,0.013835616438356173
2025-12,3253,427442.08,0.14355263157894738
2026-01,872,98863.34,0.05454545454545454
