category,region,six_week_forecast_units,sku_id,historical_units,sku_mix_share,sku_forecast_units
Kitchen,West,1344.6000000000001,SKU-102077,114,0.013246572158958867,17.81
Kitchen,West,1344.6000000000001,SKU-104079,86,0.009993028119916338,13.44
Beauty,North,436.41999999999996,SKU-102541,83,0.030525928650239058,13.32
Kitchen,West,1344.6000000000001,SKU-103197,84,0.009760632117127585,13.12
Kitchen,West,1344.6000000000001,SKU-104223,83,0.00964443411573321,12.97
Kitchen,West,1344.6000000000001,SKU-101501,75,0.008714850104578202,11.72
Beauty,North,436.41999999999996,SKU-100345,72,0.026480323648400146,11.56
Kitchen,West,1344.6000000000001,SKU-102423,74,0.008598652103183826,11.56
Kitchen,West,1344.6000000000001,SKU-103108,72,0.008366256100395073,11.25
Beauty,North,436.41999999999996,SKU-103909,70,0.025744759102611255,11.24
Kitchen,West,1344.6000000000001,SKU-100803,71,0.008250058099000698,11.09
Beauty,North,436.41999999999996,SKU-100723,68,0.02500919455682236,10.91
Beauty,North,436.41999999999996,SKU-101803,66,0.024273630011033467,10.59
Kitchen,West,1344.6000000000001,SKU-104674,67,0.0077852660934231935,10.47
Kitchen,West,1344.6000000000001,SKU-101344,66,0.007669068092028817,10.31
Kitchen,West,1344.6000000000001,SKU-101722,66,0.007669068092028817,10.31
Kitchen,West,1344.6000000000001,SKU-104655,65,0.0075528700906344415,10.16
Kitchen,West,1344.6000000000001,SKU-104633,65,0.0075528700906344415,10.16
Kitchen,West,1344.6000000000001,SKU-100403,65,0.0075528700906344415,10.16
Beauty,North,436.41999999999996,SKU-101533,63,0.02317028319235013,10.11
Kitchen,West,1344.6000000000001,SKU-104093,64,0.007436672089240065,10.0
Kitchen,West,1344.6000000000001,SKU-100570,64,0.007436672089240065,10.0
Kitchen,West,1344.6000000000001,SKU-103378,64,0.007436672089240065,10.0
Beauty,North,436.41999999999996,SKU-101029,62,0.02280250091945568,9.95
Beauty,North,436.41999999999996,SKU-100633,62,0.02280250091945568,9.95
Beauty,North,436.41999999999996,SKU-104503,62,0.02280250091945568,9.95
Kitchen,West,1344.6000000000001,SKU-102622,63,0.0073204740878456895,9.84
Kitchen,West,1344.6000000000001,SKU-100011,63,0.0073204740878456895,9.84
Kitchen,West,1344.6000000000001,SKU-101793,63,0.0073204740878456895,9.84
Beauty,North,436.41999999999996,SKU-101785,61,0.022434718646561234,9.79
Kitchen,West,1344.6000000000001,SKU-102063,62,0.007204276086451313,9.69
Kitchen,West,1344.6000000000001,SKU-104385,62,0.007204276086451313,9.69
Beauty,North,436.41999999999996,SKU-102343,60,0.02206693637366679,9.63
Kitchen,West,1344.6000000000001,SKU-103805,61,0.0070880780850569374,9.53
Kitchen,West,1344.6000000000001,SKU-104201,60,0.006971880083662561,9.37
Kitchen,West,1344.6000000000001,SKU-103917,60,0.006971880083662561,9.37
Kitchen,West,1344.6000000000001,SKU-102383,60,0.006971880083662561,9.37
Kitchen,West,1344.6000000000001,SKU-102675,60,0.006971880083662561,9.37
Kitchen,West,1344.6000000000001,SKU-101789,60,0.006971880083662561,9.37
Kitchen,West,1344.6000000000001,SKU-101177,60,0.006971880083662561,9.37
Kitchen,West,1344.6000000000001,SKU-101037,59,0.006855682082268185,9.22
Kitchen,West,1344.6000000000001,SKU-102059,59,0.006855682082268185,9.22
Kitchen,West,1344.6000000000001,SKU-104224,58,0.006739484080873809,9.06
Kitchen,West,1344.6000000000001,SKU-103288,58,0.006739484080873809,9.06
Kitchen,West,1344.6000000000001,SKU-100673,58,0.006739484080873809,9.06
Kitchen,West,1344.6000000000001,SKU-103828,58,0.006739484080873809,9.06
Kitchen,West,1344.6000000000001,SKU-101483,58,0.006739484080873809,9.06
Beauty,East,345.84,SKU-103207,99,0.02605263157894737,9.01
Beauty,East,345.84,SKU-102127,98,0.025789473684210525,8.92
Kitchen,West,1344.6000000000001,SKU-101285,57,0.006623286079479433,8.91
Kitchen,West,1344.6000000000001,SKU-101573,57,0.006623286079479433,8.91
Kitchen,West,1344.6000000000001,SKU-102460,57,0.006623286079479433,8.91
Beauty,North,436.41999999999996,SKU-103081,55,0.02022802500919456,8.83
Kitchen,West,1344.6000000000001,SKU-100223,56,0.006507088078085057,8.75
Kitchen,West,1344.6000000000001,SKU-100948,56,0.006507088078085057,8.75
Kitchen,West,1344.6000000000001,SKU-101141,56,0.006507088078085057,8.75
Kitchen,West,1344.6000000000001,SKU-101272,56,0.006507088078085057,8.75
Kitchen,West,1344.6000000000001,SKU-103953,56,0.006507088078085057,8.75
Beauty,North,436.41999999999996,SKU-100003,54,0.01986024273630011,8.67
Beauty,North,436.41999999999996,SKU-104521,54,0.01986024273630011,8.67
Kitchen,West,1344.6000000000001,SKU-104691,55,0.006390890076690681,8.59
Kitchen,West,1344.6000000000001,SKU-103540,55,0.006390890076690681,8.59
Kitchen,West,1344.6000000000001,SKU-103000,55,0.006390890076690681,8.59
Kitchen,West,1344.6000000000001,SKU-104259,55,0.006390890076690681,8.59
Kitchen,West,1344.6000000000001,SKU-103733,55,0.006390890076690681,8.59
Kitchen,West,1344.6000000000001,SKU-101811,55,0.006390890076690681,8.59
Beauty,North,436.41999999999996,SKU-101137,53,0.019492460463405664,8.51
Beauty,North,436.41999999999996,SKU-102721,53,0.019492460463405664,8.51
Kitchen,West,1344.6000000000001,SKU-100857,54,0.006274692075296305,8.44
Kitchen,West,1344.6000000000001,SKU-103666,54,0.006274692075296305,8.44
Kitchen,West,1344.6000000000001,SKU-104620,54,0.006274692075296305,8.44
Kitchen,West,1344.6000000000001,SKU-100835,54,0.006274692075296305,8.44
Beauty,North,436.41999999999996,SKU-102235,52,0.019124678190511217,8.35
Beauty,North,436.41999999999996,SKU-100453,52,0.019124678190511217,8.35
Kitchen,West,1344.6000000000001,SKU-101393,53,0.006158494073901929,8.28
Kitchen,West,1344.6000000000001,SKU-104795,53,0.006158494073901929,8.28
Kitchen,West,1344.6000000000001,SKU-102635,53,0.006158494073901929,8.28
Beauty,North,436.41999999999996,SKU-103873,51,0.01875689591761677,8.19
Kitchen,West,1344.6000000000001,SKU-103071,52,0.006042296072507553,8.12
Kitchen,West,1344.6000000000001,SKU-100552,52,0.006042296072507553,8.12
Kitchen,West,1344.6000000000001,SKU-100966,52,0.006042296072507553,8.12
Kitchen,West,1344.6000000000001,SKU-102185,52,0.006042296072507553,8.12
Kitchen,West,1344.6000000000001,SKU-100750,52,0.006042296072507553,8.12
Beauty,East,345.84,SKU-104611,88,0.023157894736842106,8.01
Kitchen,West,1344.6000000000001,SKU-103864,51,0.005926098071113177,7.97
Kitchen,West,1344.6000000000001,SKU-103809,51,0.005926098071113177,7.97
Beauty,North,436.41999999999996,SKU-102775,49,0.01802133137182788,7.86
Beauty,North,436.41999999999996,SKU-102901,49,0.01802133137182788,7.86
Kitchen,West,1344.6000000000001,SKU-100529,50,0.005809900069718801,7.81
Kitchen,West,1344.6000000000001,SKU-100354,50,0.005809900069718801,7.81
Kitchen,West,1344.6000000000001,SKU-100462,50,0.005809900069718801,7.81
Kitchen,West,1344.6000000000001,SKU-100930,50,0.005809900069718801,7.81
Kitchen,West,1344.6000000000001,SKU-100840,49,0.005693702068324425,7.66
Kitchen,West,1344.6000000000001,SKU-104903,49,0.005693702068324425,7.66
Kitchen,West,1344.6000000000001,SKU-102545,49,0.005693702068324425,7.66
Kitchen,West,1344.6000000000001,SKU-103990,49,0.005693702068324425,7.66
Beauty,East,345.84,SKU-103099,84,0.022105263157894735,7.64
Kitchen,West,1344.6000000000001,SKU-102838,48,0.005577504066930049,7.5
Kitchen,West,1344.6000000000001,SKU-104008,48,0.005577504066930049,7.5
Kitchen,West,1344.6000000000001,SKU-101879,48,0.005577504066930049,7.5
Kitchen,West,1344.6000000000001,SKU-102136,48,0.005577504066930049,7.5
Kitchen,West,1344.6000000000001,SKU-103877,48,0.005577504066930049,7.5
Beauty,North,436.41999999999996,SKU-100363,46,0.016917984553144538,7.38
Beauty,North,436.41999999999996,SKU-101677,46,0.016917984553144538,7.38
Beauty,North,436.41999999999996,SKU-100795,46,0.016917984553144538,7.38
Beauty,East,345.84,SKU-101209,81,0.02131578947368421,7.37
Kitchen,West,1344.6000000000001,SKU-103247,47,0.005461306065535673,7.34
Kitchen,West,1344.6000000000001,SKU-100606,47,0.005461306065535673,7.34
Kitchen,West,1344.6000000000001,SKU-104403,47,0.005461306065535673,7.34
Kitchen,West,1344.6000000000001,SKU-103985,47,0.005461306065535673,7.34
Kitchen,West,1344.6000000000001,SKU-101902,47,0.005461306065535673,7.34
Beauty,East,345.84,SKU-101443,80,0.021052631578947368,7.28
Beauty,East,345.84,SKU-102613,80,0.021052631578947368,7.28
Beauty,North,436.41999999999996,SKU-102505,45,0.01655020228025009,7.22
Beauty,North,436.41999999999996,SKU-104845,45,0.01655020228025009,7.22
Beauty,North,436.41999999999996,SKU-104431,45,0.01655020228025009,7.22
Kitchen,West,1344.6000000000001,SKU-103612,46,0.005345108064141297,7.19
Kitchen,West,1344.6000000000001,SKU-100029,46,0.005345108064141297,7.19
Kitchen,West,1344.6000000000001,SKU-102045,46,0.005345108064141297,7.19
Kitchen,West,1344.6000000000001,SKU-100173,46,0.005345108064141297,7.19
Beauty,North,436.41999999999996,SKU-100471,44,0.016182420007355647,7.06
Kitchen,West,1344.6000000000001,SKU-102567,45,0.005228910062746921,7.03
Kitchen,West,1344.6000000000001,SKU-104367,45,0.005228910062746921,7.03
Kitchen,West,1344.6000000000001,SKU-103467,45,0.005228910062746921,7.03
Kitchen,West,1344.6000000000001,SKU-103085,45,0.005228910062746921,7.03
Beauty,North,436.41999999999996,SKU-102577,43,0.0158146377344612,6.9
Kitchen,West,1344.6000000000001,SKU-104741,44,0.005112712061352545,6.87
Kitchen,West,1344.6000000000001,SKU-101681,44,0.005112712061352545,6.87
Kitchen,West,1344.6000000000001,SKU-100371,44,0.005112712061352545,6.87
Beauty,North,436.41999999999996,SKU-100903,42,0.015446855461566752,6.74
Beauty,North,436.41999999999996,SKU-104179,42,0.015446855461566752,6.74
Beauty,North,436.41999999999996,SKU-104413,42,0.015446855461566752,6.74
Kitchen,West,1344.6000000000001,SKU-103715,43,0.004996514059958169,6.72
Kitchen,West,1344.6000000000001,SKU-102784,43,0.004996514059958169,6.72
Kitchen,West,1344.6000000000001,SKU-102585,43,0.004996514059958169,6.72
Kitchen,West,1344.6000000000001,SKU-101632,43,0.004996514059958169,6.72
Kitchen,West,1344.6000000000001,SKU-102586,43,0.004996514059958169,6.72
Beauty,North,436.41999999999996,SKU-102667,41,0.015079073188672305,6.58
Kitchen,West,1344.6000000000001,SKU-104548,42,0.004880316058563793,6.56
Kitchen,West,1344.6000000000001,SKU-102117,42,0.004880316058563793,6.56
Kitchen,West,1344.6000000000001,SKU-101861,42,0.004880316058563793,6.56
Kitchen,West,1344.6000000000001,SKU-101109,42,0.004880316058563793,6.56
Beauty,East,345.84,SKU-103477,71,0.01868421052631579,6.46
Beauty,North,436.41999999999996,SKU-102973,40,0.01471129091577786,6.42
Beauty,North,436.41999999999996,SKU-103243,40,0.01471129091577786,6.42
Kitchen,West,1344.6000000000001,SKU-102459,41,0.004764118057169417,6.41
Kitchen,West,1344.6000000000001,SKU-101933,41,0.004764118057169417,6.41
Kitchen,West,1344.6000000000001,SKU-101469,41,0.004764118057169417,6.41
Kitchen,West,1344.6000000000001,SKU-103337,41,0.004764118057169417,6.41
Kitchen,West,1344.6000000000001,SKU-104205,41,0.004764118057169417,6.41
Beauty,East,345.84,SKU-101353,69,0.018157894736842106,6.28
Beauty,North,436.41999999999996,SKU-100201,39,0.014343508642883413,6.26
Kitchen,West,1344.6000000000001,SKU-102369,40,0.004647920055775041,6.25
Kitchen,West,1344.6000000000001,SKU-101812,40,0.004647920055775041,6.25
Kitchen,West,1344.6000000000001,SKU-101357,40,0.004647920055775041,6.25
Kitchen,West,1344.6000000000001,SKU-103053,40,0.004647920055775041,6.25
